S4b2	NRC PBMT	No,No,No	NRC PBMT2	No,No,Not applicable	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S4b3	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S4c1	NRC PBMT	Yes,Yes,Yes	NRC PBMT2	Yes,Yes,Yes	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S4c2	NRC PBMT	No,No,Not applicable	NRC PBMT2	No,No,Not applicable	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S4c3	NRC PBMT	Yes,Yes,Yes	NRC PBMT2	Yes,Yes,Yes	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S4d1	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	No,No,No
S4d2	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	No,No,No
S4d3	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	No,No,Yes	Google's NMT (March 2017)	No,No,No
S5a	NRC PBMT	Yes,Yes,Yes	NRC PBMT2	Yes,Yes,Yes	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S5b	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	No,No,No	Google's NMT (March 2017)	Yes,Yes,Yes
S5c	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	No,No,No
S5d	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S6a	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Not applicable,No,Not applicable	Google's NMT (March 2017)	No,No,No
S6b	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,No,No	Google's NMT (March 2017)	Yes,Yes,Yes
S6c	NRC PBMT	Yes,Yes,Yes	NRC PBMT2	Yes,Yes,Yes	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S7a	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	No,No,No	Google's NMT (March 2017)	No,No,No
S7b	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	No,No,No	Google's NMT (March 2017)	No,No,No
S7c	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	No,No,No	Google's NMT (March 2017)	No,No,No
S8a	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S8b	NRC PBMT	Yes,Yes,Yes	NRC PBMT2	Yes,Yes,Yes	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S8c	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	No,No,No	Google's NMT (March 2017)	Yes,Yes,Yes
S9a	NRC PBMT	No,No,No	NRC PBMT2	Yes,Yes,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	No,No,No
S9b	NRC PBMT	No,Yes,Yes	NRC PBMT2	Yes,Yes,Yes	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S9c	NRC PBMT	Yes,Yes,Yes	NRC PBMT2	Yes,Yes,Yes	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S10a	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	No,No,No	Google's NMT (March 2017)	No,No,No
S10b	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	No,No,No	Google's NMT (March 2017)	No,No,No
